"","date","d18Op","lat","lon"
"94",2000-04-03,-0.175030395388603,48.1556283354368,15.9375
"95",2000-04-04,-0.502981185913086,48.1556283354368,15.9375
"96",2000-04-05,-0.602935791015625,48.1556283354368,15.9375
"97",2000-04-06,-8.35516548156738,48.1556283354368,15.9375
"98",2000-04-07,-1.1031676530838,48.1556283354368,15.9375
"99",2000-04-08,-1.31308662891388,48.1556283354368,15.9375
"100",2000-04-09,-1.12698018550873,48.1556283354368,15.9375
"101",2000-04-10,-2.40205311775208,48.1556283354368,15.9375
"102",2000-04-11,-4.17116403579712,48.1556283354368,15.9375
"103",2000-04-12,-3.40171837806702,48.1556283354368,15.9375
"104",2000-04-13,-2.90001535415649,48.1556283354368,15.9375
"105",2000-04-14,-2.76741170883179,48.1556283354368,15.9375
"106",2000-04-15,NA,48.1556283354368,15.9375
