"","date","wisoq18o_d","lat","lon"
"88",2000-03-28,-19.1411552429199,48.1556283354368,15.9375
"89",2000-03-29,-14.3179178237915,48.1556283354368,15.9375
"90",2000-03-30,-14.0427179336548,48.1556283354368,15.9375
"91",2000-03-31,-13.3192167282104,48.1556283354368,15.9375
"92",2000-04-01,-14.9597282409668,48.1556283354368,15.9375
"93",2000-04-02,-14.1470603942871,48.1556283354368,15.9375
"94",2000-04-03,-11.6813011169434,48.1556283354368,15.9375
"95",2000-04-04,-11.1099872589111,48.1556283354368,15.9375
"96",2000-04-05,-12.2153778076172,48.1556283354368,15.9375
"97",2000-04-06,-15.65793800354,48.1556283354368,15.9375
"98",2000-04-07,-12.455771446228,48.1556283354368,15.9375
"99",2000-04-08,-12.0416116714478,48.1556283354368,15.9375
